Dates, Index, Long Short Equity, Distressed Debt, Large, Arbitrage, Medium, Billion Dollar, CTA/Managed Futures, Multi-Strategy, Small, Fixed Income, Event Driven, Macro, Relative Value, Top 50, SPY
2001-12-31,131.10604166137,131.77516003466698,129.68096980728998,122.085083278864,129.158437821331,119.96001221469,127.498803952425,133.11278189843202,130.447261062467,136.713095394062,126.74122824407101,127.593468027463,126.742022900086,132.757552877714,,79.6454190561833
2002-01-31,131.947673128719,132.888027372052,132.06955062702298,122.61856921116,130.674854397812,121.00489464537901,128.30535119221,132.229854164073,131.421399071079,138.399681856127,127.840984689499,129.135307275883,127.826680677155,134.36891440455202,,78.86500472272434
2002-02-28,131.772570195406,132.785934228392,131.65272422191998,121.91344276636002,131.176462438234,121.097991782748,128.053418148181,130.17662475476,131.96390647047198,138.91541971679501,128.96697672635,128.626522371603,128.97842908968,134.207495800304,,77.45045243828555
2002-03-28,134.111687955951,136.057280129537,132.917808115142,123.211977043897,132.011305633063,122.361673205774,128.666246330853,131.542083032441,134.068681571015,141.72851739753798,130.311591935276,131.571342988952,129.527476464429,137.507141447966,,80.0273110053273
2002-04-30,134.837324068221,136.687347791022,135.034408254196,122.987358779808,132.911201418765,123.00982506658801,129.082923763483,130.942023413118,135.203327499976,143.62183329105,132.136335745647,132.642326642463,130.91333280383898,138.620050819228,,75.37327460185195
2002-05-31,136.353376290289,137.126308551589,136.91444490270501,124.177469163761,133.621430646098,124.37318719605301,130.439220969794,135.73387097155398,136.70327954481002,146.256829869043,133.144190450405,133.206615371172,133.44879612756398,138.73955916149401,,74.92603142711405
2002-06-28,136.49881499045,134.64698401313498,134.737610448939,124.261497328902,133.69492174175699,124.34448093884501,129.880135286113,144.376077108326,136.71201216682502,146.827618839768,133.269503383183,129.386737447669,134.418494640817,139.072203610824,,69.39591768421039
2002-07-31,135.16144371982,130.80460114723,131.045385757512,124.23469210716401,133.844083790227,123.26438944370399,128.80625640701598,150.030860420451,135.805035906217,145.557840339442,132.81492319543,126.157716436378,134.39423487114402,136.535312993287,,63.92616147590096
2002-08-30,136.554682730645,131.591913796753,131.392244883568,125.279531509435,134.733382641894,124.036482557702,130.616049376199,153.1168685469,138.34439556192498,147.596807649524,134.036050018093,126.961342332222,136.122505231986,137.320976333793,,64.36094702575537
2002-09-30,136.252178522602,129.484918433123,130.146993362668,125.567608074872,135.68713533425802,123.886369894986,130.765056663976,157.66650568854098,138.601294103736,147.023394901007,134.06588696742702,125.617028289159,137.016568071485,136.668049802007,,57.612543695746346
2002-10-31,136.786903608244,130.898295881782,129.744092967368,125.471318010377,136.189960683847,123.706062012789,130.31081036089302,153.810099572879,140.509228595165,147.850025656895,134.890960436247,126.454653081744,137.293273425876,140.239771517501,,62.353114607640684
2002-11-29,139.13016694138798,134.22055403198098,134.53643345504298,126.177355199841,138.139205080839,125.35914088353,132.282955180042,152.906887073033,142.235202437052,150.402489133508,137.266135480412,129.872017607325,138.579801739799,143.501486453581,,66.19911936221217
2002-12-31,140.772014403272,133.242689092572,138.459176313,127.876468428468,139.522453181137,126.321207186078,134.489818359458,161.549445590284,144.63302271732599,152.984429950604,139.49379032315,130.998805885148,141.016066787878,144.88482286914,,62.45422354907624
2003-01-31,142.64441702692199,133.61689771543502,142.315296722476,130.212581361935,141.430353488545,127.891037153025,136.574438631643,167.794994567312,146.86806530391502,155.038184360293,141.810879993651,132.635013576169,143.66382484527202,145.564777911249,,60.918184719594365
2003-02-28,143.63209668772302,133.264522061471,144.031452210687,131.382159593866,142.544367752057,128.8321865103,138.23497756425502,172.994499857569,148.236335194102,156.295109891128,143.285397535092,132.558704517661,145.675213160494,145.61590493913098,,60.09706838415181
2003-03-31,143.227744982422,133.612159917333,146.447048825268,129.790450017167,143.44211184506,128.518629512087,136.201530789833,166.539162013367,148.753057700452,155.382644754359,144.712743748305,133.529732666714,144.514553782282,146.49183735141702,,60.225684430195905
2003-04-30,146.872947143009,137.704322815198,152.99743530467399,132.459067037018,144.97599601867398,131.488291888291,139.191916901248,168.95005936235398,151.784117732553,159.673279259603,147.825524312251,137.80020422732798,148.445202674796,151.70443284787902,,65.32147626883264
2003-05-30,152.400933681434,143.413567325087,158.68142474335698,135.981831145957,147.449790156391,135.744477529013,144.04429827623002,177.883251650718,156.055761074373,166.452724854396,150.711813268593,142.221144517482,154.797523491752,156.228170613863,,68.90345766357132
2003-06-30,154.048849676195,145.95943604224,163.474850221871,136.400458377815,147.958894809675,136.882391348755,144.306268849992,174.947389354486,157.489545727729,169.25662856301702,152.63981009275,145.728676678686,156.798860188871,159.025020808241,,69.63740862856599
2003-07-31,155.912305997105,149.02149027222998,165.70940524703198,136.006036422163,148.035819545392,137.84381919448998,144.244401723859,174.585019030752,159.611510534445,171.844986842575,153.299147231748,148.144653087874,156.36134826192,161.64275936469102,,70.89277846154945
